Middle East & North Africa (IDA & IBRD countries),TMN,1488905605616
Tonga,TON,469228124.2
South Asia (IDA & IBRD),TSA,4062783801939
Sub-Saharan Africa (IDA & IBRD countries),TSS,1926457861345
Trinidad and Tobago,TTO,24460196270
Tunisia,TUN,46687298709
Turkiye,TUR,819034484303
Tuvalu,TUV,60196366.81
Tanzania,TZA,70655628141
Uganda,UGA,40510241366
Ukraine,UKR,199765856765
Upper middle income,UMC,28475143446764
Uruguay,URY,61412268249
United States,USA,23315080560000
Uzbekistan,UZB,69600614989
St. Vincent and the Grenadines,VCT,872226063.7
"Venezuela, RB",VEN,
British Virgin Islands,VGB,
Virgin Islands (U.S.),VIR,
Vietnam,VNM,366137590718
Vanuatu,VUT,971636097.9
World,WLD,96882397612409
Samoa,WSM,843850777.8
Kosovo,XKX,9412034299
"Yemen, Rep.",YEM,
South Africa,ZAF,419015636065
Zambia,ZMB,22147649569
Zimbabwe,ZWE,28371238666
